com_id,com_code,com_name_ar,com_name_en,com_tel,com_address,com_usr_code,com_active,sec_insert_uid,sec_insert_date,sec_update_uid,sec_update_date
"4","4","لايف سرفيس","LIFE SERVICE","","","","1","","","",""
"5","5","الصياد","EL-SAYAD","","","","1","","","",""
"6","6","براون","BRAUN","","","","1","","","",""
"7","7","كارفن","CARVEN","","","","1","","","",""
"8","8","هيلثى","HEALTHY","","","","1","","","",""
"9","9","اورال بي","ORAL-B","","","","1","","","",""
"10","10","ايمكو","AMECO","","","","1","","","",""
"11","11","سيمكس","SEMIX","","","","1","","","",""
"12","12","فيوتشر لين","FUTUR LINE","","","","1","","","1","08/12/2007 4:36:48 pm"
"13","13","الانصار","AL ANSAR","","","","1","","","",""
"14","14","بيربيريز","BURBERRYS","","","","1","","","",""
"15","15","اوريون فارما","ORION PHARMA","","","","1","","","",""
"16","16","اوركيديا","ORCHIDIA","","","","1","","","",""
"17","17","بيوجال","BIOGAL","","","","1","","","",""
"18","18","كابتيك","CAPTEK","","","","1","","","",""
"19","19","وايدر","WEIDER","","","","1","","","",""
"20","20","ليدر بيبي","LEADER BABY","","","","1","","","",""
"21","21","شيكو","CHICCO","","","","1","","","",""
"22","22","بايجون","BYGON","","","","1","","","",""
"23","23","نيوك","NUK","","","","1","","","",""
"24","24","كاريرا","CARRERA","","","","1","","","",""
"25","25","ليماكو فارمانت","LEMACO PHARMA NET","","","","1","","","",""
"26","26","بلايتكس","PLYTEX","","","","1","","","",""
"27","27","شيبريت","CHIBRET","","","","1","","","",""
"28","28","افينتس","AVENTIS","","","","1","","","1","08/12/2007 4:43:59 pm"
"29","29","لوف & كير","LOVE & CARE","","","","1","","","",""
"30","30","بيبى ديور","BABY DUR","","","","1","","","",""
"31","31","راو فارما","Raw Pharma","","","","1","","","",""
"32","32","بيولوج","BIOLOG","","","","1","","","",""
"33","33","سباى فارمانت","SPI PHARMA NET","","","","1","","","",""
"34","34","فيندي","FRNDI","","","","1","","","",""
"35","35","جاسبير","JASSPER","","","","1","","","",""
"36","36","ناسيت","NACET","","","","1","","","",""
"37","37","شول","SCHOLL","","","","1","","","",""
"38","38","بياف","PIAVE","","","","1","","","",""
"39","39","ويلمر","WILLMAR","","","","1","","","",""
"40","40","مودرن فارماسوتيكال","MODERN PHARMACEUTICAL CENTER","","","","1","","","",""
"41","41","كيوراسان","CURASAN","","","","1","","","",""
"42","42","جافكو","GAFCO INT.","","","","1","","","",""
"43","43","يونى فارم","UNIPHARM","","","","1","","","1","20/09/2007 2:30:34 pm"
"44","44","نوفوتيك فارما","NOVOTIC PHARM","","","","1","","","1","20/09/2007 2:55:42 pm"
"45","45","برو- سبورت","PRO SPORT","","","","1","","","",""
"46","46","روزاليند","ROSALIND","","","","1","","","",""
"47","47","ف ترينكا","F.TRENKA","","","","1","","","",""
"48","48","جولدن","GOLDEN","","","","1","","","",""
"49","49","ستون هيلث كير","SETON HEALTHCARE GROUP","","","","1","","","",""
"50","50","انتر فارما","INTER PHARMA","","","","1","","","",""
"51","51","مصر للغزل و النسيج","MISR SPIN & WEAVING","","","","1","","","",""
"52","52","الفا ميديسن","ALPHA MEDICINE","","","","1","","","",""
"53","53","المتحدة للكيماويات","UNITED CO. FOR CHEMICALS","","","","1","","","",""
"54","54","فينيس","FINESSE","","","","1","","","",""
"55","55","السعوية المصرية للادوية","EGYPTIAN SAUDI PHARM","","","","1","","","",""
"56","56","مالتي فارما","MULTI PHARMA","","","","1","","","",""
"57","57","ماستر بروفشيونال","MASTER PROFESSIONAL","","","","1","","","",""
"58","58","مينى سوفت","MINI SOFT","","","","1","","","1","21/12/2007 4:07:34 am"
"59","59","مينا سيريل","MENA CYRIL","","","","1","","","",""
"60","60","لاندرلان","LANDERLAN","","","","1","","","",""
"61","61","نيوبورت","NEW PORT","","","","1","","","",""
"62","62","ناتشورال لايف","NATURAL LIFE","","","","1","","","",""
"63","63","بيورجا","BIORGA","","","","1","","","",""
"64","64","ريفلون","REVLON","","","","1","","","",""
"65","65","توب فارم","TOP PHARM","","","","1","","","",""
"66","66","جرنثال","GRUNETHAL","","","","1","","","",""
"67","67","تري ميديكا","TRI MEDICA","","","","1","","","",""
"68","68","ثيربلاكس","THERPLEX","","","","1","","","",""
"69","69","فريسلاند","FRICLAND","","","","1","","","",""
"70","70","توين لابوراتوريز","TWIN  LABORATORIES INC.","","","","1","","","",""
"71","71","بيونوريكا","BIONORICA","","","","1","","","",""
"72","72","كونسيل فارماسوتيكالز","KONSYL PHARMACEUTICAL","","","","1","","","",""
